tv_count,tp_count,target_circle,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,on/off road,,
,,,,
5,1,vehicle,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,vehicle,,
,,,,
4,0,vehicle,,
,,,,
4,0,vehicle,,
,,,,
3,0,vehicle,,
,,,,
3,0,vehicle,,
,,,,
4,0,vehicle,,
,,,,
4,0,vehicle,,
,,,,
4,0,vehicle,,
,,,,
4,0,vehicle,,
,,,,
5,0,vehicle,,
,,,,
5,0,vehicle,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
4,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
4,1,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
5,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,___,,
,,,,
2,0,___,,
,,,,
3,1,on/off road,,
,,,,
3,1,on/off road,,
,,,,
3,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
1,1,___,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
4,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,2,on/off road,,
,,,,
2,2,on/off road,,
,,,,
2,2,on/off road,,
,,,,
3,2,on/off road,,
,,,,
3,2,on/off road,,
,,,,
3,2,on/off road,,
,,,,
3,2,on/off road,,
,,,,
3,2,on/off road,,
,,,,
3,2,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,___,,
,,,,
1,0,___,,
,,,,
1,0,___,,
,,,,
1,0,___,,
,,,,
1,0,___,,
,,,,
1,0,___,,
,,,,
1,0,___,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
0,2,on/off road,,
,,,,
0,2,on/off road,,
,,,,
0,2,on/off road,,
,,,,
0,2,on/off road,,
,,,,
0,2,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
3,1,on/off road,,
,,,,
3,1,on/off road,,
,,,,
3,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,1,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,1,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,vehicle,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
3,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,vehicle,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,___,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,1,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
0,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
2,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
1,0,on/off road,,
,,,,
